"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_fish","region"
"721","Avocat","MI44","F","Bène","Personne âgée",9973.79790889685,16841.5392411834,3106.05657661027,21,2,"Minganga"
"733","Avocat","MI45","M","Attention","Adulte",14974.8245812683,16841.5392411834,7307.86802039352,21,3,"Minganga"
"753","Moundouala2","MI47","M","Attention","Adolescent",3307.93809291307,19844.68987725,445.36574490207,21,3,"Minganga"
"762","Moundouala2","MI48","F","Attention","Adolescent",445.36574490207,445.36574490207,445.36574490207,19,1,"Minganga"
"773","Moundouala2","MI49","F","Attention","Adolescent",NA,-Inf,-Inf,1,0,"Minganga"
"793","Moundouala2","MI50","M","Attention","Adulte",NA,-Inf,-Inf,19,0,"Minganga"
"823","Moundouala2","MI53","F","","Adulte",NA,-Inf,-Inf,23,0,"Minganga"
"843","Bokéya2","MI55","M","Attention","Adulte",NA,-Inf,-Inf,21,0,"Minganga"
"862","Bokéya2","MI57","F","Minganga","Personne âgée",NA,-Inf,-Inf,17,0,"Minganga"
"873","Bokéya2","MI58","M","","Personne âgée",NA,-Inf,-Inf,13,0,"Minganga"
"893","Makossa3","MI6","F","Mbili","Adulte",NA,-Inf,-Inf,14,0,"Minganga"
"922","Bokéya2","MI62","F","Attention","Adulte",764.46397749897,17446.8304434043,605.547015292035,21,3,"Minganga"
"932","Epopé","MI63","M","Attention","Adulte",NA,-Inf,-Inf,19,0,"Minganga"
"971","Epopé","MI67","F","Toukoulaka","Adulte",17661.081564839,17925.2081375192,10534.0639963311,23,4,"Minganga"
"981","Makossa2","MI68","F","Minganga","Adulte",14816.6461861055,14816.6461861055,14816.6461861055,14,1,"Minganga"
"1003","Makossa3","MI7","M","Mossombo","Personne âgée",NA,-Inf,-Inf,14,0,"Minganga"
"1013","Makossa2","MI70","M","Mbili","Adulte",9956.70642639244,17686.6681124203,2226.74474036455,19,2,"Minganga"
"1022","Makossa2","MI71","F","Mbili","Adulte",17961.2896400497,18016.0218425999,17906.5574374995,19,2,"Minganga"
"1071","Makossa3","MI76","M","Mossombo","Adulte",NA,-Inf,-Inf,13,0,"Minganga"
"1083","Makossa3","MI77","F","Mbili","Adulte",NA,-Inf,-Inf,13,0,"Minganga"
"1091","Makossa3","MI78","F","Mossombo","Adulte",NA,-Inf,-Inf,13,0,"Minganga"
"1111","Makossa3","MI8","F","Mossombo","Adulte",NA,-Inf,-Inf,10,0,"Minganga"
"1131","Makossa3","MI81","M","Mossombo","Adolescent",NA,-Inf,-Inf,12,0,"Minganga"
"1183","Mbaya","MI86","F","","Adulte",8166.58045220154,8166.58045220154,8166.58045220154,16,1,"Minganga"
"1202","Mbaya","MI88","M","Minganga","Adulte",NA,-Inf,-Inf,21,0,"Minganga"
"1233","Mbaya","MI90","M","Mossombo","Adulte",8166.58045220154,8166.58045220154,8166.58045220154,12,1,"Minganga"
"1252","Mbaya","MI92","F","Minganga","Adulte",NA,-Inf,-Inf,18,0,"Minganga"
"1293","Bylikombo2","MI96","M","Minganga","Adulte",9755.12055817032,13563.5585566147,8937.05379773415,18,6,"Minganga"
"1315","VMA","MI98","M","Attention","Adulte",14779.5745511928,21580.6975445257,7095.06219146973,24,7,"Minganga"
"1321","Bylikombo2","MI99","F","Minganga","Adulte",11542.5990089171,13563.5585566147,11280.8157334613,12,4,"Minganga"
"514","Lokoko1","E102","F","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"716","Sobé","E104","M","Enyelle","Adulte",NA,-Inf,-Inf,8,0,"Enyelle"
"816","Sobé","E105","F","Enyelle","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"915","Sobé","E106","F","Enyelle","Adolescent",NA,-Inf,-Inf,4,0,"Enyelle"
"1014","Molapa_EN","E107","M","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1110","Molapa_EN","E108","F","Enyelle","Adulte",31467.7823180439,31467.7823180439,31467.7823180439,6,1,"Enyelle"
"1316","Likeko","E11","M","","Adulte",12387.8460156948,12387.8460156948,12387.8460156948,7,1,"Enyelle"
"1413","Molapa_EN","E110","M","Enyelle","Adolescent",NA,-Inf,-Inf,8,0,"Enyelle"
"1512","Molapa_EN","E111","M","Enyelle","Adulte",NA,-Inf,-Inf,10,0,"Enyelle"
"188","Kombo2","E114","M","Dongou","Adulte",NA,-Inf,-Inf,28,0,"Enyelle"
"1910","Kombo2","E115","F","Enyelle","Adolescent",NA,-Inf,-Inf,15,0,"Enyelle"
"262","Kombo2","E121","F","Enyelle","Adulte",NA,-Inf,-Inf,10,0,"Enyelle"
"284","Kombo2","E123","F","Enyelle","Adolescent",NA,-Inf,-Inf,7,0,"Enyelle"
"293","Kombo2","E124","F","Enyelle","Personne âgée",NA,-Inf,-Inf,8,0,"Enyelle"
"302","Kombo2","E125","F","Enyelle","Adolescent",NA,-Inf,-Inf,5,0,"Enyelle"
"324","Kombo2","E127","F","Enyelle","Adolescent",NA,-Inf,-Inf,14,0,"Enyelle"
"342","Bopongo","E129","M","Boyelé","Adulte",NA,-Inf,-Inf,16,0,"Enyelle"
"359","Essembo3","E13","M","Bétou","Adulte",NA,-Inf,-Inf,9,0,"Enyelle"
"363","Bopongo","E130","M","Enyelle","Adulte",NA,-Inf,-Inf,18,0,"Enyelle"
"383","Bopongo","E132","M","Boyelé","Adulte",NA,-Inf,-Inf,13,0,"Enyelle"
"406","Bopongo","E134","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"434","Bopongo","E137","M","Enyelle","Adulte",NA,-Inf,-Inf,16,0,"Enyelle"
"482","Bopongo","E141","F","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"493","Bopongo","E142","F","Enyelle","Adulte",NA,-Inf,-Inf,10,1,"Enyelle"
"503","Bopongo","E143","F","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"523","Bopongo","E145","M","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"543","Coconacoco1","E147","F","Bongoye","Adulte",NA,-Inf,-Inf,8,0,"Enyelle"
"554","Coconacoco1","E148","M","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"595","Coconacoco1","E151","M","Enyelle","Adolescent",NA,-Inf,-Inf,5,0,"Enyelle"
"604","Coconacoco1","E152","F","Enyelle","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"614","Coconacoco1","E153","M","Enyelle","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"643","Coconacoco1","E156","F","Enyelle","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"663","Coconacoco1","E158","F","Enyelle","Adulte",NA,-Inf,-Inf,10,0,"Enyelle"
"703","Coconacoco1","E161","F","Bongoye","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"717","Coconacoco1","E162","F","Enyelle","Personne âgée",NA,-Inf,-Inf,13,0,"Enyelle"
"734","Coconacoco1","E164","M","Mimbelli","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"742","Coconacoco1","E165","M","Coconacoco1","FALSE",NA,-Inf,-Inf,0,0,"Enyelle"
"763","Kombo1","E167","F","Kombo3","Personne âgée",NA,-Inf,-Inf,3,0,"Enyelle"
"817","Kombo1","E171","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"831","Kombo3","E173","M","Kombo3","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"852","Kombo1","E175","F","Enyelle","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"863","Coconacoco1","E176","M","Coconacoco1","Adulte",NA,-Inf,-Inf,12,0,"Enyelle"
"874","Kombo3","E177","F","Enyelle","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"884","Kombo3","E178","F","Molapa_EN","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"903","Essembo4","E18","F","Enyelle","Personne âgée",3255.60333069605,3255.60333069605,3255.60333069605,12,1,"Enyelle"
"916","Kombo3","E180","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"933","Kombo2","E182","F","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"952","Kombo2","E184","M","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"962","Kombo2","E185","F","Enyelle","Adulte",31751.9115183544,31751.9115183544,31751.9115183544,3,1,"Enyelle"
"972","Kombo2","E186","F","Kombo1","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"1015","Essembo3","E19","F","Bétou","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"1033","Bopongo","E191","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1053","Bopongo","E193","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1062","Bopongo","E194","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1072","Bopongo","E195","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1084","Bopongo","E196","F","Mimbelli","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"1092","Bopongo","E197","F","Bissambi","Adulte",NA,-Inf,-Inf,10,0,"Enyelle"
"1112","Bopongo","E199","M","Djoubé","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1122","Lokoko6","E2","F","Enyelle","Personne âgée",12684.8276154663,14256.8995803071,11112.7556506255,15,2,"Enyelle"
"1132","Essembo3","E20","F","Bétou","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"1142","Bopongo","E200","F","Mimbelli","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1152","Bopongo","E201","F","Bissambi","Personne âgée",NA,-Inf,-Inf,6,0,"Enyelle"
"1161","Bopongo","E202","M","Mimbelli","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"1172","Bopongo","E203","F","","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"1192","Bopongo","E205","M","Midjoukou","Personne âgée",NA,-Inf,-Inf,9,0,"Enyelle"
"1203","Bopongo","E206","F","Mimbelli","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1222","Bopongo","E208","M","Coconacoco2","FALSE",NA,-Inf,-Inf,0,0,"Enyelle"
"1253","Bopongo","E210","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1262","Bopongo","E211","F","Mimbelli","Personne âgée",NA,-Inf,-Inf,4,0,"Enyelle"
"1273","Coconacoco1","E212","F","Enyelle","Personne âgée",NA,-Inf,-Inf,3,0,"Enyelle"
"1303","Coconacoco1","E215","F","Enyelle","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"1322","Coconacoco1","E217","F","Bongoye","Personne âgée",NA,-Inf,-Inf,3,0,"Enyelle"
"1332","Coconacoco1","E218","F","Coconacoco1","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"1353","Essembo4","E22","M","Enyelle","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"1363","Coconacoco1","E220","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1373","Coconacoco1","E221","M","Dongou","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"1392","Coconacoco1","E223","F","Coconacoco1","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1414","Coconacoco1","E225","M","Coconacoco1","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1481","Coconacoco1","E231","M","Enyelle","Personne âgée",NA,-Inf,-Inf,6,0,"Enyelle"
"1521","Coconacoco1","E235","M","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"1531","Coconacoco1","E236","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1541","Coconacoco1","E237","F","Coconacoco1","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1551","Coconacoco1","E238","F","Enyelle","Personne âgée",NA,-Inf,-Inf,3,0,"Enyelle"
"1562","Coconacoco1","E239","M","Kombo1","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1583","Coconacoco2","E240","F","Mimbelli","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1592","Coconacoco2","E241","F","Coconacoco2","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"1601","Coconacoco2","E242","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1611","Coconacoco2","E243","M","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1632","Coconacoco2","E246","M","Mimbelli","Adulte",NA,-Inf,-Inf,13,0,"Enyelle"
"1641","Coconacoco2","E248","F","Bongoye","Personne âgée",NA,-Inf,-Inf,7,0,"Enyelle"
"1663","Ngouanguébé","E25","M","Enyelle","Adulte",NA,-Inf,-Inf,9,0,"Enyelle"
"1692","Coconacoco2","E252","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1712","Coconacoco2","E254","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1722","Coconacoco2","E255","M","Mimbelli","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"1771","Essembo5","E26","M","Enyelle","Adulte",NA,-Inf,-Inf,8,0,"Enyelle"
"179","Coconacoco2","E261","F","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1801","Coconacoco2","E262","M","Mimbelli","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"184","Coconacoco2","E266","F","Enyelle","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"1861","Coconacoco2","E268","F","","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"187","Coconacoco2","E269","M","Mimbelli","Personne âgée",NA,-Inf,-Inf,1,0,"Enyelle"
"189","Kombo3","E270","F","Kombo3","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"190","Coconacoco2","E271","M","Mimbelli","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"191","Coconacoco2","E272","F","Mimputu","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"195","Coconacoco2","E276","F","","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"196","Coconacoco2","E277","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"198","Coconacoco2","E279","M","Mimbelli","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"200","Essembo5","E29","F","Enyelle","Adulte",NA,-Inf,-Inf,12,0,"Enyelle"
"2021","Essembo5","E31","M","Enyelle","Personne âgée",NA,-Inf,-Inf,10,0,"Enyelle"
"203","Essembo1","E32","M","Essembo1","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"2051","Essembo1","E34","F","Enyelle","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"206","Essembo1","E35","M","Enyelle","Adolescent",NA,-Inf,-Inf,6,0,"Enyelle"
"207","Essembo1","E36","F","Enyelle","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"2081","Essembo1","E37","F","Enyelle","Personne âgée",NA,-Inf,-Inf,9,0,"Enyelle"
"210","Misseké","E39","F","Mokinda","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"212","Misseké","E40","F","Sambo","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"213","Misseké","E41","F","Essembo","Adulte",NA,-Inf,-Inf,5,1,"Enyelle"
"214","Misseké","E42","F","Lokoko","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"2161","Misseké","E44","F","Enyelle","Adulte",4559.5399994455,4559.5399994455,4559.5399994455,16,1,"Enyelle"
"217","Mossomé","E45","M","Bétou","Adulte",NA,-Inf,-Inf,15,0,"Enyelle"
"219","Mossomé","E47","F","Enyelle","Adulte",6074.53513683416,6536.0427737522,5613.02749991611,20,2,"Enyelle"
"220","Mossomé","E48","F","","Adulte",6074.53513683416,6536.0427737522,5613.02749991611,24,2,"Enyelle"
"222","Likeko","E5","F","Enyelle","Personne âgée",NA,-Inf,-Inf,3,0,"Enyelle"
"223","Mossomé","E50","F","Landza","Adulte",6074.53513683416,6536.0427737522,5613.02749991611,25,2,"Enyelle"
"224","Lokoko6","E51","F","Bétou","Adulte",NA,-Inf,-Inf,15,0,"Enyelle"
"226","Lokoko4","E53","M","Enyelle","Adulte",7020.17741439578,8648.48675565143,5391.86807314013,28,3,"Enyelle"
"2271","Lokoko4","E54","F","Mokinda","Personne âgée",10301.191703128,14348.3944236845,8648.48675565143,21,4,"Enyelle"
"2311","Lokoko2","E58","M","Bétou","Adulte",9158.12262270041,14470.0891233364,5518.2859045766,18,7,"Enyelle"
"232","Lokoko4","E59","F","Enyelle","Adulte",5391.86807314013,5391.86807314013,5391.86807314013,20,6,"Enyelle"
"234","Lokoko4","E60","F","Enyelle","Adolescent",NA,-Inf,-Inf,18,0,"Enyelle"
"2361","Mossomé","E62","F","Enyelle","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"2371","Lokoko6","E63","M","Enyelle","Personne âgée",6971.93860268558,8634.60040933234,5309.27679603882,11,2,"Enyelle"
"2381","Mossomé","E64","M","Enyelle","Adulte",NA,-Inf,-Inf,9,0,"Enyelle"
"239","Lokoko2","E65","F","Enyelle","Personne âgée",5518.2859045766,5518.2859045766,5518.2859045766,14,2,"Enyelle"
"2421","Lokoko2","E68","F","Enyelle","Adulte",5518.2859045766,5518.2859045766,5518.2859045766,11,1,"Enyelle"
"245","Lokoko6","E70","F","Lokoko6","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"246","Lokoko6","E71","F","Enyelle","Personne âgée",NA,-Inf,-Inf,6,0,"Enyelle"
"247","Lokoko6","E72","M","Essembo","Adolescent",11112.7556506255,11112.7556506255,11112.7556506255,11,1,"Enyelle"
"248","Lokoko1","E73","M","Bétou","Adulte",4264.92748973284,4264.92748973284,4264.92748973284,11,3,"Enyelle"
"2511","Lokoko1","E76","F","Enyelle","Adulte",NA,-Inf,-Inf,12,0,"Enyelle"
"2531","Lokoko1","E78","M","Bétou","Adulte",6773.35981556746,6773.35981556746,6773.35981556746,13,2,"Enyelle"
"255","Likeko","E8","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"256","Lokoko4","E80","F","Lokoko4","Adulte",9385.14234992548,9385.14234992548,9385.14234992548,10,1,"Enyelle"
"2571","Lokoko4","E81","M","Lokoko4","Adulte",8648.48675565143,8648.48675565143,8648.48675565143,5,1,"Enyelle"
"2581","Lokoko4","E82","M","Lokoko4","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"2591","Lokoko2","E83","F","Lokoko2","Adulte",11201.5158478621,13610.515697868,8792.51599785608,9,2,"Enyelle"
"260","Lokoko1","E84","F","Enyelle","Adulte",NA,-Inf,-Inf,14,0,"Enyelle"
"266","Likeko","E9","F","Essembo","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"269","Lokoko4","E92","F","Lokoko4","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"271","Lokoko1","E94","M","Enyelle","Adulte",9956.84261502838,217550.134659344,6773.35981556746,29,3,"Enyelle"
"2731","Lokoko1","E96","F","Bangui_CAR","Personne âgée",NA,-Inf,-Inf,4,0,"Enyelle"
"2741","Lokoko1","E97","F","Bétou","Adulte",4264.92748973284,4264.92748973284,4264.92748973284,6,1,"Enyelle"
"2751","Lokoko1","E98","F","Bissambi","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"2761","Lokoko1","E99","F","Essembo","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"424","Wongo5","BE4","M","Ngongou","Adulte",NA,-Inf,-Inf,13,0,"betou"
"818","Wongo5","BE8","F","","Adulte",NA,-Inf,-Inf,11,0,"betou"
"1016","Wongo3","BE10","M","Kenkenze","Adulte",NA,-Inf,-Inf,14,0,"betou"
"1113","Wongo3","BE12","F","","Adulte",NA,-Inf,-Inf,12,0,"betou"
"1213","Wongo2","BE13","M","Bétou","Personne âgée",NA,-Inf,-Inf,13,0,"betou"
"1415","Wongo3","BE15","M","Kenkenze","Adulte",NA,-Inf,-Inf,14,0,"betou"
"1610","Wongo2","BE17","F","Kenkenze","Personne âgée",NA,-Inf,-Inf,11,0,"betou"
"1713","Wongo1","BE18","M","Mongoumba","Adulte",NA,-Inf,-Inf,11,0,"betou"
"1810","Koueta","BE19","F","Wongo1","Personne âgée",NA,-Inf,-Inf,8,0,"betou"
"1911","Wongo1","BE20","M","Mongoumba","Personne âgée",NA,-Inf,-Inf,12,0,"betou"
"2012","Wongo1","BE21","F","","Personne âgée",NA,-Inf,-Inf,12,0,"betou"
"254","Popo3","BE26","M","Bétou","Adulte",NA,-Inf,-Inf,10,0,"betou"
"303","Popo1","BE31","M","Bétou","Adulte",NA,-Inf,-Inf,15,0,"betou"
"318","Bobo1","BE32","F","Enyelle","Adulte",7391.53580176751,9240.5125114101,5542.55909212492,19,2,"betou"
"326","Popo1","BE33","F","","Adulte",NA,-Inf,-Inf,10,0,"betou"
"3510","Popo3","BE36","M","Bétou","Adulte",NA,-Inf,-Inf,10,0,"betou"
"377","Popo3","BE39","F","Bétou","Adulte",NA,-Inf,-Inf,8,0,"betou"
"385","Popo3","BE40","F","Bétou","Adulte",NA,-Inf,-Inf,1,0,"betou"
"463","Bobo1","BE48","M","Bétou","Adulte",NA,-Inf,-Inf,14,0,"betou"
"483","Bobo1","BE50","F","Bétou","Adolescent",NA,-Inf,-Inf,11,0,"betou"
"494","Bobo1","BE51","M","","Adulte",NA,-Inf,-Inf,13,0,"betou"
"504","Bobo1","BE52","F","Bobo1","Adulte",NA,-Inf,-Inf,19,0,"betou"
"555","Ngola3","BE57","F","Mimbelli","Adulte",NA,-Inf,-Inf,12,0,"betou"
"584","Mondika","BE60","M","","Adulte",NA,-Inf,-Inf,32,0,"betou"
"596","Ngola3","BE61","F","Enyelle","Adulte",5872.52613233851,5888.5896668716,5856.46259780541,17,2,"betou"
"615","Wongo5","BE63","M","Kenkenze","Adulte",NA,-Inf,-Inf,9,0,"betou"
"621","Wongo5","BE64","F","","Adolescent",NA,-Inf,-Inf,9,0,"betou"
"633","Wongo5","BE65","F","","Adolescent",NA,-Inf,-Inf,9,0,"betou"
"644","Wongo5","BE66","F","Bétou","Adulte",NA,-Inf,-Inf,9,0,"betou"
"718","Wongo3","BE73","M","","Adulte",NA,-Inf,-Inf,11,0,"betou"
"735","Wongo2","BE75","M","Bétou","Adulte",NA,-Inf,-Inf,23,0,"betou"
"743","Wongo3","BE76","F","","Adulte",NA,-Inf,-Inf,9,0,"betou"
"754","Wongo3","BE77","F","Kenkenze","Adulte",NA,-Inf,-Inf,8,0,"betou"
"774","Wongo2","BE79","F","Kenkenze","Adulte",NA,-Inf,-Inf,10,0,"betou"
"783","Wongo1","BE80","M","","Adulte",NA,-Inf,-Inf,5,0,"betou"
"803","Wongo1","BE82","M","Kenkenze","Adulte",NA,-Inf,-Inf,44,0,"betou"
"824","Wongo1","BE84","F","Mongoumba(Centrafrique)","Adulte",NA,-Inf,-Inf,15,0,"betou"
"844","Koueta","BE86","F","(Centrafrique)","Personne âgée",NA,-Inf,-Inf,3,0,"betou"
"885","Koueta","BE90","M","Wongo1","Adulte",8926.78100105973,9479.96063143912,8919.4643306398,18,3,"betou"
"894","Popo2","BE91","F","Wongo2","Adulte",NA,-Inf,-Inf,5,0,"betou"
"917","Popo2","BE93","M","Wongo4","Adulte",8687.6095218444,9240.5125114101,8680.25113115657,23,3,"betou"
"923","Popo1","BE94","M","","Adulte",5285.32030374357,45920.2204447816,5016.90498920877,17,4,"betou"
"942","Popo1","BE96","F","Bétou","Adulte",5022.49325228549,5542.55909212492,2327.92306718681,15,4,"betou"
"1004","Bobo1","BE102","F","Bétou","Adulte",571.976137902859,573.314519672603,570.637756133114,18,2,"betou"
"1054","Bobo1","BE107","F","Enyelle","Adulte",NA,-Inf,-Inf,12,0,"betou"
"1063","Bobo1","BE108","M","","Adulte",NA,-Inf,-Inf,17,0,"betou"
"1073","Bobo1","BE109","M","Bétou","Adulte",NA,-Inf,-Inf,20,0,"betou"
"1114","Bobo1","BE113","M","Bobo1","Adulte",571.976137902859,573.314519672603,570.637756133114,14,2,"betou"
"1123","Ngola2","BE114","M","","Adolescent",5993.70687446804,6015.1607861229,5973.61467081468,12,3,"betou"
"1133","Bobo1","BE115","F","Boyelé","Adulte",570.637756133114,570.637756133114,570.637756133114,12,1,"betou"
"1153","Ngola2","BE117","F","Bétou","Adulte",5993.70687446804,6015.1607861229,5973.61467081468,13,3,"betou"
"1193","Mondika","BE121","M","Bétou","Adulte",NA,-Inf,-Inf,7,0,"betou"
"1223","Mondika","BE124","F","Bétou","Adolescent",NA,-Inf,-Inf,1,0,"betou"
"1234","Mondika","BE125","F","Bétou","Adulte",7445.23624227663,7486.77405207569,7425.05111960083,8,4,"betou"
"1254","Mondika","BE127","M","Mondika","FALSE",NA,-Inf,-Inf,0,0,"betou"
"1263","Mondika","BE128","M","Bétou","Adolescent",NA,-Inf,-Inf,10,0,"betou"
"1274","Mondika","BE129","F","Bétou","Adulte",NA,-Inf,-Inf,14,0,"betou"
