"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_bantu_work","region"
"355","Makossa1","MI13","F","Minganga","Adulte",25820.384022718,25820.384022718,25820.384022718,12,1,"Minganga"
"394","Epopé","MI133","F","Minganga","Adulte",70603.4041551772,117723.597944281,17093.5528414319,22,4,"Minganga"
"4111","Mbaya","MI15","F","Mbili","Adolescent",NA,-Inf,-Inf,13,0,"Minganga"
"433","Mbaya","MI17","M","Mossombo","Personne âgée",130523.234934167,130523.234934167,130523.234934167,27,1,"Minganga"
"443","Mbaya","MI18","F","Mbili","Adulte",NA,-Inf,-Inf,19,0,"Minganga"
"451","VMA","MI19","M","Minganga","Adolescent",NA,-Inf,-Inf,18,0,"Minganga"
"473","Mbaya","MI20","F","Mbaya","Adolescent",NA,-Inf,-Inf,11,0,"Minganga"
"481","Mbaya","MI21","F","Mossombo","Personne âgée",NA,-Inf,-Inf,17,0,"Minganga"
"492","Mbaya","MI22","M","Minganga","Adulte",69643.1004311899,69643.1004311899,69643.1004311899,20,1,"Minganga"
"522","VMA","MI25","M","Minganga","Personne âgée",3173.7113423696,3173.7113423696,3173.7113423696,14,1,"Minganga"
"532","VMA","MI26","F","Minganga","Personne âgée",11823.4947689813,11823.4947689813,11823.4947689813,12,1,"Minganga"
"542","Bylikombo2","MI27","F","Minganga","Adolescent",NA,-Inf,-Inf,0,0,"Minganga"
"553","Bylikombo2","MI28","F","Minganga","Personne âgée",NA,-Inf,-Inf,14,0,"Minganga"
"564","Bylikombo2","MI29","M","Minganga","Adulte",20197.9469006592,159924.973080225,1217.94156755871,14,4,"Minganga"
"571","Makossa3","MI3","F","","Adolescent",NA,-Inf,-Inf,0,0,"Minganga"
"583","Avocat","MI30","M","Toukoulaka","Adolescent",44464.7289338454,76662.1754748735,12267.2823928173,21,2,"Minganga"
"594","Epopé","MI31","F","Toukoulaka","Personne âgée",17093.5528414319,17093.5528414319,17093.5528414319,19,1,"Minganga"
"603","Avocat","MI32","M","Attention","Adolescent",12267.2823928173,12267.2823928173,12267.2823928173,6,1,"Minganga"
"613","Avocat","MI34","M","Toukoulaka","Adolescent",44464.7289338454,76662.1754748735,12267.2823928173,22,3,"Minganga"
"653","Avocat","MI38","F","Attention","Adulte",NA,-Inf,-Inf,21,0,"Minganga"
"662","Avocat","MI39","M","Attention","Adulte",NA,-Inf,-Inf,21,0,"Minganga"
"692","Avocat","MI41","M","Minganga","Personne âgée",89778.4481365003,106252.574250487,12267.2823928173,25,4,"Minganga"
"702","Avocat","MI42","F","Attention","Adolescent",NA,-Inf,-Inf,0,0,"Minganga"
"715","Avocat","MI43","F","Attention","Adulte",NA,-Inf,-Inf,19,0,"Minganga"
"721","Avocat","MI44","F","Bène","Personne âgée",20008.4231646689,20008.4231646689,20008.4231646689,21,1,"Minganga"
"733","Avocat","MI45","M","Attention","Adulte",20008.4231646689,20008.4231646689,20008.4231646689,21,1,"Minganga"
"753","Moundouala2","MI47","M","Attention","Adolescent",44514.4759785791,79812.5821226271,9216.36983453115,21,2,"Minganga"
"762","Moundouala2","MI48","F","Attention","Adolescent",9216.36983453115,9216.36983453115,9216.36983453115,19,1,"Minganga"
"773","Moundouala2","MI49","F","Attention","Adolescent",NA,-Inf,-Inf,1,0,"Minganga"
"793","Moundouala2","MI50","M","Attention","Adulte",94813.4369260028,109814.291729378,79812.5821226271,19,2,"Minganga"
"823","Moundouala2","MI53","F","","Adulte",109814.291729378,109814.291729378,109814.291729378,23,1,"Minganga"
"843","Bokéya2","MI55","M","Attention","Adulte",77213.3260877065,77213.3260877065,77213.3260877065,21,1,"Minganga"
"862","Bokéya2","MI57","F","Minganga","Personne âgée",NA,-Inf,-Inf,17,0,"Minganga"
"873","Bokéya2","MI58","M","","Personne âgée",48482.4588072914,77213.3260877065,19751.5915268764,13,2,"Minganga"
"893","Makossa3","MI6","F","Mbili","Adulte",NA,-Inf,-Inf,14,0,"Minganga"
"922","Bokéya2","MI62","F","Attention","Adulte",NA,-Inf,-Inf,21,0,"Minganga"
"932","Epopé","MI63","M","Attention","Adulte",NA,-Inf,-Inf,19,0,"Minganga"
"971","Epopé","MI67","F","Toukoulaka","Adulte",NA,-Inf,-Inf,23,0,"Minganga"
"981","Makossa2","MI68","F","Minganga","Adulte",2226.74474036455,2226.74474036455,2226.74474036455,14,1,"Minganga"
"1003","Makossa3","MI7","M","Mossombo","Personne âgée",26187.7318112722,35122.9771189301,1831.5821899513,14,3,"Minganga"
"1013","Makossa2","MI70","M","Mbili","Adulte",34751.1026742071,34751.1026742071,34751.1026742071,19,1,"Minganga"
"1022","Makossa2","MI71","F","Mbili","Adulte",2226.74474036455,2226.74474036455,2226.74474036455,19,1,"Minganga"
"1071","Makossa3","MI76","M","Mossombo","Adulte",63316.2681569639,63316.2681569639,63316.2681569639,13,1,"Minganga"
"1083","Makossa3","MI77","F","Mbili","Adulte",63316.2681569639,63316.2681569639,63316.2681569639,13,1,"Minganga"
"1091","Makossa3","MI78","F","Mossombo","Adulte",78214.5907798726,93112.9134027813,63316.2681569639,13,2,"Minganga"
"1111","Makossa3","MI8","F","Mossombo","Adulte",NA,-Inf,-Inf,10,0,"Minganga"
"1131","Makossa3","MI81","M","Mossombo","Adolescent",NA,-Inf,-Inf,12,0,"Minganga"
"1183","Mbaya","MI86","F","","Adulte",20470.5867014215,20470.5867014215,20470.5867014215,16,1,"Minganga"
"1202","Mbaya","MI88","M","Minganga","Adulte",69643.1004311899,69643.1004311899,69643.1004311899,21,1,"Minganga"
"1233","Mbaya","MI90","M","Mossombo","Adulte",29693.5014605877,29781.789239708,20470.5867014215,12,3,"Minganga"
"1252","Mbaya","MI92","F","Minganga","Adulte",69643.1004311899,69643.1004311899,69643.1004311899,18,1,"Minganga"
"1293","Bylikombo2","MI96","M","Minganga","Adulte",38136.2398590097,75054.5381504606,1217.94156755871,18,2,"Minganga"
"1315","VMA","MI98","M","Attention","Adulte",93870.6708104937,103668.497582964,21239.8847915227,24,3,"Minganga"
"1321","Bylikombo2","MI99","F","Minganga","Adulte",86846.9964712388,98639.454792017,75054.5381504606,12,2,"Minganga"
"514","Lokoko1","E102","F","Enyelle","Adulte",37427.4903394973,37427.4903394973,37427.4903394973,5,1,"Enyelle"
"716","Sobé","E104","M","Enyelle","Adulte",73784.9070904009,81952.0286629164,65617.7855178854,8,2,"Enyelle"
"816","Sobé","E105","F","Enyelle","Adulte",NA,-Inf,-Inf,7,1,"Enyelle"
"915","Sobé","E106","F","Enyelle","Adolescent",NA,-Inf,-Inf,4,0,"Enyelle"
"1014","Molapa_EN","E107","M","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1110","Molapa_EN","E108","F","Enyelle","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"1316","Likeko","E11","M","","Adulte",37277.4430192513,60952.0856720275,13602.8003664751,7,2,"Enyelle"
"1413","Molapa_EN","E110","M","Enyelle","Adolescent",78919.3568885526,126370.931459061,31467.7823180439,8,2,"Enyelle"
"1512","Molapa_EN","E111","M","Enyelle","Adulte",68506.5314831861,72278.8427024988,64734.2202638734,10,2,"Enyelle"
"188","Kombo2","E114","M","Dongou","Adulte",250629.173455826,840171.355777764,69840.2426350524,28,3,"Enyelle"
"1910","Kombo2","E115","F","Enyelle","Adolescent",35511.8900596894,39271.8686010244,31751.9115183544,15,2,"Enyelle"
"262","Kombo2","E121","F","Enyelle","Adulte",NA,-Inf,-Inf,10,1,"Enyelle"
"284","Kombo2","E123","F","Enyelle","Adolescent",7089.40877028868,7089.40877028868,7089.40877028868,7,1,"Enyelle"
"293","Kombo2","E124","F","Enyelle","Personne âgée",31751.9115183544,31751.9115183544,31751.9115183544,8,1,"Enyelle"
"302","Kombo2","E125","F","Enyelle","Adolescent",NA,-Inf,-Inf,5,0,"Enyelle"
"324","Kombo2","E127","F","Enyelle","Adolescent",NA,-Inf,-Inf,14,0,"Enyelle"
"342","Bopongo","E129","M","Boyelé","Adulte",68477.1147491677,128616.80901772,14843.8214571404,16,5,"Enyelle"
"359","Essembo3","E13","M","Bétou","Adulte",36562.4147090272,36562.4147090272,36562.4147090272,9,1,"Enyelle"
"363","Bopongo","E130","M","Enyelle","Adulte",105249.512024472,275062.494310993,74580.3305486522,18,4,"Enyelle"
"383","Bopongo","E132","M","Boyelé","Adulte",81882.2150312243,128616.80901772,42169.0688285627,13,5,"Enyelle"
"406","Bopongo","E134","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"434","Bopongo","E137","M","Enyelle","Adulte",128616.80901772,128616.80901772,128616.80901772,16,1,"Enyelle"
"482","Bopongo","E141","F","Enyelle","Adulte",6708.88196601732,6708.88196601732,6708.88196601732,5,1,"Enyelle"
"493","Bopongo","E142","F","Enyelle","Adulte",14843.8214571404,14843.8214571404,14843.8214571404,10,1,"Enyelle"
"503","Bopongo","E143","F","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"523","Bopongo","E145","M","Enyelle","Adulte",105249.512024472,128616.80901772,81882.2150312243,5,2,"Enyelle"
"543","Coconacoco1","E147","F","Bongoye","Adulte",NA,-Inf,-Inf,8,0,"Enyelle"
"554","Coconacoco1","E148","M","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"595","Coconacoco1","E151","M","Enyelle","Adolescent",NA,-Inf,-Inf,5,0,"Enyelle"
"604","Coconacoco1","E152","F","Enyelle","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"614","Coconacoco1","E153","M","Enyelle","Adulte",13984.8613850432,13984.8613850432,13984.8613850432,7,2,"Enyelle"
"643","Coconacoco1","E156","F","Enyelle","Adulte",77556.0684418561,108170.384045428,53266.426700519,6,4,"Enyelle"
"663","Coconacoco1","E158","F","Enyelle","Adulte",81208.4510824006,81208.4510824006,81208.4510824006,10,3,"Enyelle"
"703","Coconacoco1","E161","F","Bongoye","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"717","Coconacoco1","E162","F","Enyelle","Personne âgée",53056.5952162454,127962.015700203,24242.0491909355,13,4,"Enyelle"
"734","Coconacoco1","E164","M","Mimbelli","Adulte",112379.664722652,112379.664722652,112379.664722652,7,1,"Enyelle"
"742","Coconacoco1","E165","M","Coconacoco1","FALSE",NA,-Inf,-Inf,0,0,"Enyelle"
"763","Kombo1","E167","F","Kombo3","Personne âgée",NA,-Inf,-Inf,3,0,"Enyelle"
"817","Kombo1","E171","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"831","Kombo3","E173","M","Kombo3","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"852","Kombo1","E175","F","Enyelle","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"863","Coconacoco1","E176","M","Coconacoco1","Adulte",81208.4510824006,127962.015700203,80486.8777610219,12,4,"Enyelle"
"874","Kombo3","E177","F","Enyelle","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"884","Kombo3","E178","F","Molapa_EN","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"903","Essembo4","E18","F","Enyelle","Personne âgée",NA,-Inf,-Inf,12,1,"Enyelle"
"916","Kombo3","E180","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"933","Kombo2","E182","F","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"952","Kombo2","E184","M","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"962","Kombo2","E185","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"972","Kombo2","E186","F","Kombo1","Adulte",80952.4794161211,80952.4794161211,80952.4794161211,6,1,"Enyelle"
"1015","Essembo3","E19","F","Bétou","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"1033","Bopongo","E191","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1053","Bopongo","E193","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1062","Bopongo","E194","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1072","Bopongo","E195","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1084","Bopongo","E196","F","Mimbelli","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"1092","Bopongo","E197","F","Bissambi","Adulte",250156.828172004,250156.828172004,250156.828172004,10,1,"Enyelle"
"1112","Bopongo","E199","M","Djoubé","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1122","Lokoko6","E2","F","Enyelle","Personne âgée",4450.69474488852,4450.69474488852,4450.69474488852,15,1,"Enyelle"
"1132","Essembo3","E20","F","Bétou","Adulte",13244.7800260204,13244.7800260204,13244.7800260204,5,1,"Enyelle"
"1142","Bopongo","E200","F","Mimbelli","Adulte",6708.88196601732,6708.88196601732,6708.88196601732,4,1,"Enyelle"
"1152","Bopongo","E201","F","Bissambi","Personne âgée",NA,-Inf,-Inf,6,0,"Enyelle"
"1161","Bopongo","E202","M","Mimbelli","Personne âgée",461604.066167477,841325.91730373,81882.2150312243,5,2,"Enyelle"
"1172","Bopongo","E203","F","","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"1192","Bopongo","E205","M","Midjoukou","Personne âgée",81882.2150312243,128616.80901772,58543.9197384673,9,3,"Enyelle"
"1203","Bopongo","E206","F","Mimbelli","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1222","Bopongo","E208","M","Coconacoco2","FALSE",NA,-Inf,-Inf,0,0,"Enyelle"
"1253","Bopongo","E210","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1262","Bopongo","E211","F","Mimbelli","Personne âgée",NA,-Inf,-Inf,4,0,"Enyelle"
"1273","Coconacoco1","E212","F","Enyelle","Personne âgée",NA,-Inf,-Inf,3,0,"Enyelle"
"1303","Coconacoco1","E215","F","Enyelle","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"1322","Coconacoco1","E217","F","Bongoye","Personne âgée",NA,-Inf,-Inf,3,0,"Enyelle"
"1332","Coconacoco1","E218","F","Coconacoco1","Adulte",NA,-Inf,-Inf,1,0,"Enyelle"
"1353","Essembo4","E22","M","Enyelle","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"1363","Coconacoco1","E220","F","Enyelle","Adulte",6652.88690832192,6652.88690832192,6652.88690832192,3,1,"Enyelle"
"1373","Coconacoco1","E221","M","Dongou","Adulte",840993.687050383,840993.687050383,840993.687050383,7,1,"Enyelle"
"1392","Coconacoco1","E223","F","Coconacoco1","Adulte",6652.88690832192,6652.88690832192,6652.88690832192,2,1,"Enyelle"
"1414","Coconacoco1","E225","M","Coconacoco1","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1481","Coconacoco1","E231","M","Enyelle","Personne âgée",469340.77505631,857473.099030219,81208.4510824006,6,2,"Enyelle"
"1521","Coconacoco1","E235","M","Enyelle","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"1531","Coconacoco1","E236","F","Enyelle","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1541","Coconacoco1","E237","F","Coconacoco1","Adulte",6652.88690832192,6652.88690832192,6652.88690832192,2,1,"Enyelle"
"1551","Coconacoco1","E238","F","Enyelle","Personne âgée",NA,-Inf,-Inf,3,0,"Enyelle"
"1562","Coconacoco1","E239","M","Kombo1","Adulte",6652.88690832192,6652.88690832192,6652.88690832192,2,1,"Enyelle"
"1583","Coconacoco2","E240","F","Mimbelli","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1592","Coconacoco2","E241","F","Coconacoco2","Personne âgée",7091.28187354173,7091.28187354173,7091.28187354173,2,1,"Enyelle"
"1601","Coconacoco2","E242","F","Mimbelli","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1611","Coconacoco2","E243","M","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1632","Coconacoco2","E246","M","Mimbelli","Adulte",145628.461418763,302295.468865634,44564.7007626967,13,7,"Enyelle"
"1641","Coconacoco2","E248","F","Bongoye","Personne âgée",NA,-Inf,-Inf,7,0,"Enyelle"
"1663","Ngouanguébé","E25","M","Enyelle","Adulte",12425.4029877941,12462.9599598933,12387.8460156948,9,2,"Enyelle"
"1692","Coconacoco2","E252","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"1712","Coconacoco2","E254","F","Mimbelli","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"1722","Coconacoco2","E255","M","Mimbelli","Adulte",81029.9133483854,81029.9133483854,81029.9133483854,5,1,"Enyelle"
"1771","Essembo5","E26","M","Enyelle","Adulte",NA,-Inf,-Inf,8,0,"Enyelle"
"179","Coconacoco2","E261","F","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"1801","Coconacoco2","E262","M","Mimbelli","Adulte",53065.970043412,53065.970043412,53065.970043412,5,1,"Enyelle"
"184","Coconacoco2","E266","F","Enyelle","Adulte",33475.606540725,33475.606540725,33475.606540725,6,1,"Enyelle"
"1861","Coconacoco2","E268","F","","Personne âgée",NA,-Inf,-Inf,2,0,"Enyelle"
"187","Coconacoco2","E269","M","Mimbelli","Personne âgée",NA,-Inf,-Inf,1,0,"Enyelle"
"189","Kombo3","E270","F","Kombo3","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"190","Coconacoco2","E271","M","Mimbelli","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"191","Coconacoco2","E272","F","Mimputu","Adulte",NA,-Inf,-Inf,3,0,"Enyelle"
"195","Coconacoco2","E276","F","","Adulte",NA,-Inf,-Inf,7,0,"Enyelle"
"196","Coconacoco2","E277","F","Enyelle","Adulte",NA,-Inf,-Inf,2,0,"Enyelle"
"198","Coconacoco2","E279","M","Mimbelli","Adulte",73727.1940624267,73727.1940624267,73727.1940624267,4,1,"Enyelle"
"200","Essembo5","E29","F","Enyelle","Adulte",114031.496645078,137357.536142891,90705.457147266,12,2,"Enyelle"
"2021","Essembo5","E31","M","Enyelle","Personne âgée",197067.880247726,256778.224352562,137357.536142891,10,2,"Enyelle"
"203","Essembo1","E32","M","Essembo1","Adulte",13380.3346973944,13380.3346973944,13380.3346973944,7,1,"Enyelle"
"2051","Essembo1","E34","F","Enyelle","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"206","Essembo1","E35","M","Enyelle","Adolescent",141729.03345204,270077.732206686,13380.3346973944,6,2,"Enyelle"
"207","Essembo1","E36","F","Enyelle","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"2081","Essembo1","E37","F","Enyelle","Personne âgée",13380.3346973944,13380.3346973944,13380.3346973944,9,1,"Enyelle"
"210","Misseké","E39","F","Mokinda","Adulte",9716.33069989258,9716.33069989258,9716.33069989258,4,1,"Enyelle"
"212","Misseké","E40","F","Sambo","Personne âgée",NA,-Inf,-Inf,5,0,"Enyelle"
"213","Misseké","E41","F","Essembo","Adulte",9716.33069989258,9716.33069989258,9716.33069989258,5,1,"Enyelle"
"214","Misseké","E42","F","Lokoko","Adolescent",NA,-Inf,-Inf,3,0,"Enyelle"
"2161","Misseké","E44","F","Enyelle","Adulte",33690.2187778622,33690.2187778622,33690.2187778622,16,1,"Enyelle"
"217","Mossomé","E45","M","Bétou","Adulte",7001.53454423299,7001.53454423299,7001.53454423299,15,1,"Enyelle"
"219","Mossomé","E47","F","Enyelle","Adulte",19541.7064957072,32081.8784471813,7001.53454423299,20,2,"Enyelle"
"220","Mossomé","E48","F","","Adulte",7001.53454423299,7001.53454423299,7001.53454423299,24,1,"Enyelle"
"222","Likeko","E5","F","Enyelle","Personne âgée",13602.8003664751,13602.8003664751,13602.8003664751,3,1,"Enyelle"
"223","Mossomé","E50","F","Landza","Adulte",12331.2572009051,32081.8784471813,7001.53454423299,25,3,"Enyelle"
"224","Lokoko6","E51","F","Bétou","Adulte",4450.69474488852,4450.69474488852,4450.69474488852,15,1,"Enyelle"
"226","Lokoko4","E53","M","Enyelle","Adulte",4347.54775612813,4347.54775612813,4347.54775612813,28,2,"Enyelle"
"2271","Lokoko4","E54","F","Mokinda","Personne âgée",8944.25693712427,13540.9661181204,4347.54775612813,21,2,"Enyelle"
"2311","Lokoko2","E58","M","Bétou","Adulte",35309.5206499062,35309.5206499062,35309.5206499062,18,1,"Enyelle"
"232","Lokoko4","E59","F","Enyelle","Adulte",4347.54775612813,4347.54775612813,4347.54775612813,20,1,"Enyelle"
"234","Lokoko4","E60","F","Enyelle","Adolescent",4347.54775612813,4347.54775612813,4347.54775612813,18,1,"Enyelle"
"2361","Mossomé","E62","F","Enyelle","Adulte",NA,-Inf,-Inf,6,0,"Enyelle"
"2371","Lokoko6","E63","M","Enyelle","Personne âgée",NA,-Inf,-Inf,11,0,"Enyelle"
"2381","Mossomé","E64","M","Enyelle","Adulte",250463.993267774,250463.993267774,250463.993267774,9,1,"Enyelle"
"239","Lokoko2","E65","F","Enyelle","Personne âgée",NA,-Inf,-Inf,14,0,"Enyelle"
"2421","Lokoko2","E68","F","Enyelle","Adulte",4233.33634140066,4233.33634140066,4233.33634140066,11,1,"Enyelle"
"245","Lokoko6","E70","F","Lokoko6","Adulte",4450.69474488852,4450.69474488852,4450.69474488852,1,1,"Enyelle"
"246","Lokoko6","E71","F","Enyelle","Personne âgée",NA,-Inf,-Inf,6,0,"Enyelle"
"247","Lokoko6","E72","M","Essembo","Adolescent",4450.69474488852,4450.69474488852,4450.69474488852,11,1,"Enyelle"
"248","Lokoko1","E73","M","Bétou","Adulte",NA,-Inf,-Inf,11,0,"Enyelle"
"2511","Lokoko1","E76","F","Enyelle","Adulte",NA,-Inf,-Inf,12,0,"Enyelle"
"2531","Lokoko1","E78","M","Bétou","Adulte",124486.67521441,134228.206462348,114745.143966473,13,2,"Enyelle"
"255","Likeko","E8","F","Enyelle","Adulte",13602.8003664751,13602.8003664751,13602.8003664751,2,1,"Enyelle"
"256","Lokoko4","E80","F","Lokoko4","Adulte",NA,-Inf,-Inf,10,0,"Enyelle"
"2571","Lokoko4","E81","M","Lokoko4","Adulte",NA,-Inf,-Inf,5,0,"Enyelle"
"2581","Lokoko4","E82","M","Lokoko4","Adulte",NA,-Inf,-Inf,4,0,"Enyelle"
"2591","Lokoko2","E83","F","Lokoko2","Adulte",NA,-Inf,-Inf,9,0,"Enyelle"
"260","Lokoko1","E84","F","Enyelle","Adulte",NA,-Inf,-Inf,14,0,"Enyelle"
"266","Likeko","E9","F","Essembo","Adulte",13602.8003664751,13602.8003664751,13602.8003664751,5,1,"Enyelle"
"269","Lokoko4","E92","F","Lokoko4","Adulte",4347.54775612813,4347.54775612813,4347.54775612813,5,1,"Enyelle"
"271","Lokoko1","E94","M","Enyelle","Adulte",470252.673156705,849647.153430404,90858.1928830056,29,2,"Enyelle"
"2731","Lokoko1","E96","F","Bangui_CAR","Personne âgée",NA,-Inf,-Inf,4,0,"Enyelle"
"2741","Lokoko1","E97","F","Bétou","Adulte",3019.91995986196,3019.91995986196,3019.91995986196,6,1,"Enyelle"
"2751","Lokoko1","E98","F","Bissambi","Adulte",3019.91995986196,3019.91995986196,3019.91995986196,2,1,"Enyelle"
"2761","Lokoko1","E99","F","Essembo","Adulte",3019.91995986196,3019.91995986196,3019.91995986196,3,1,"Enyelle"
"424","Wongo5","BE4","M","Ngongou","Adulte",NA,-Inf,-Inf,13,0,"betou"
"818","Wongo5","BE8","F","","Adulte",NA,-Inf,-Inf,11,0,"betou"
"1016","Wongo3","BE10","M","Kenkenze","Adulte",1186.86355389804,2242.1322609352,131.594846860887,14,2,"betou"
"1113","Wongo3","BE12","F","","Adulte",2242.1322609352,2242.1322609352,2242.1322609352,12,1,"betou"
"1213","Wongo2","BE13","M","Bétou","Personne âgée",41467.1429998092,68164.4949811906,14769.7910184279,13,2,"betou"
"1415","Wongo3","BE15","M","Kenkenze","Adulte",1186.86355389804,2242.1322609352,131.594846860887,14,2,"betou"
"1610","Wongo2","BE17","F","Kenkenze","Personne âgée",2300.77958010419,2300.77958010419,2300.77958010419,11,1,"betou"
"1713","Wongo1","BE18","M","Mongoumba","Adulte",NA,-Inf,-Inf,11,0,"betou"
"1810","Koueta","BE19","F","Wongo1","Personne âgée",NA,-Inf,-Inf,8,1,"betou"
"1911","Wongo1","BE20","M","Mongoumba","Personne âgée",NA,-Inf,-Inf,12,0,"betou"
"2012","Wongo1","BE21","F","","Personne âgée",14502.5608383559,14502.5608383559,14502.5608383559,12,1,"betou"
"254","Popo3","BE26","M","Bétou","Adulte",NA,-Inf,-Inf,10,1,"betou"
"303","Popo1","BE31","M","Bétou","Adulte",246054.428500095,884270.205809933,160515.116373446,15,4,"betou"
"318","Bobo1","BE32","F","Enyelle","Adulte",NA,-Inf,-Inf,19,0,"betou"
"326","Popo1","BE33","F","","Adulte",16786.1996039867,16786.1996039867,16786.1996039867,10,2,"betou"
"3510","Popo3","BE36","M","Bétou","Adulte",NA,-Inf,-Inf,10,1,"betou"
"377","Popo3","BE39","F","Bétou","Adulte",NA,-Inf,-Inf,8,1,"betou"
"385","Popo3","BE40","F","Bétou","Adulte",NA,-Inf,-Inf,1,0,"betou"
"463","Bobo1","BE48","M","Bétou","Adulte",NA,-Inf,-Inf,14,0,"betou"
"483","Bobo1","BE50","F","Bétou","Adolescent",NA,-Inf,-Inf,11,0,"betou"
"494","Bobo1","BE51","M","","Adulte",NA,-Inf,-Inf,13,0,"betou"
"504","Bobo1","BE52","F","Bobo1","Adulte",NA,-Inf,-Inf,19,0,"betou"
"555","Ngola3","BE57","F","Mimbelli","Adulte",NA,-Inf,-Inf,12,0,"betou"
"584","Mondika","BE60","M","","Adulte",520827.304505048,883246.305614614,158408.303395481,32,2,"betou"
"596","Ngola3","BE61","F","Enyelle","Adulte",NA,-Inf,-Inf,17,0,"betou"
"615","Wongo5","BE63","M","Kenkenze","Adulte",NA,-Inf,-Inf,9,0,"betou"
"621","Wongo5","BE64","F","","Adolescent",15188.9594725149,15188.9594725149,15188.9594725149,9,1,"betou"
"633","Wongo5","BE65","F","","Adolescent",15188.9594725149,15188.9594725149,15188.9594725149,9,1,"betou"
"644","Wongo5","BE66","F","Bétou","Adulte",NA,-Inf,-Inf,9,0,"betou"
"718","Wongo3","BE73","M","","Adulte",NA,-Inf,-Inf,11,0,"betou"
"735","Wongo2","BE75","M","Bétou","Adulte",28329.3978723797,181491.73471107,27892.9357178015,23,5,"betou"
"743","Wongo3","BE76","F","","Adulte",NA,-Inf,-Inf,9,0,"betou"
"754","Wongo3","BE77","F","Kenkenze","Adulte",NA,-Inf,-Inf,8,0,"betou"
"774","Wongo2","BE79","F","Kenkenze","Adulte",14769.7910184279,14769.7910184279,14769.7910184279,10,1,"betou"
"783","Wongo1","BE80","M","","Adulte",14502.5608383559,14502.5608383559,14502.5608383559,5,1,"betou"
"803","Wongo1","BE82","M","Kenkenze","Adulte",312866.822573406,906620.286319326,14502.5608383559,44,3,"betou"
"824","Wongo1","BE84","F","Mongoumba(Centrafrique)","Adulte",14502.5608383559,14502.5608383559,14502.5608383559,15,1,"betou"
"844","Koueta","BE86","F","(Centrafrique)","Personne âgée",NA,-Inf,-Inf,3,0,"betou"
"885","Koueta","BE90","M","Wongo1","Adulte",164425.14987108,887850.618691564,21498.079487614,18,3,"betou"
"894","Popo2","BE91","F","Wongo2","Adulte",NA,-Inf,-Inf,5,0,"betou"
"917","Popo2","BE93","M","Wongo4","Adulte",164188.286607879,887625.275305809,5818.58936061242,23,3,"betou"
"923","Popo1","BE94","M","","Adulte",23809.6832486286,23809.6832486286,23809.6832486286,17,2,"betou"
